Date,Team,xG,xA,xPTS,match_or_not
26/12/2021,Manchester City,3.83,2.43,2.28,1
26/12/2021,Tottenham,2.82,0.18,2.90,1
26/12/2021,Chelsea,2.83,0.47,2.85,1
26/12/2021,Brighton,0.94,1.10,1.19,1
26/12/2021,Southampton,1.36,1.54,1.17,1
26/12/2021,West Ham,1.54,1.36,1.52,1
26/12/2021,Aston Villa,0.47,2.83,0.10,1
26/12/2021,Brentford,1.10,0.94,1.49,1
26/12/2021,Leicester,2.43,3.83,0.56,1
26/12/2021,Crystal Palace,0.18,2.82,0.06,1
26/12/2021,Norwich,0.15,2.88,0.03,1
27/12/2021,Newcastle United,1.27,1.76,0.98,1
27/12/2021,Manchester United,1.76,1.27,1.73,1
28/12/2021,West Ham,2.84,1.01,2.58,1
28/12/2021,Crystal Palace,2.39,0.59,2.61,1
28/12/2021,Leicester,0.62,2.73,0.15,1
28/12/2021,Southampton,0.35,2.81,0.10,1
28/12/2021,Tottenham,2.81,0.35,2.83,1
28/12/2021,Liverpool,2.73,0.62,2.76,1
28/12/2021,Watford,1.01,2.84,0.30,1
28/12/2021,Norwich,0.59,2.39,0.26,1
29/12/2021,Manchester City,1.02,0.24,2.21,1
29/12/2021,Chelsea,0.76,0.79,1.30,1
29/12/2021,Brighton,0.79,0.76,1.33,1
29/12/2021,Brentford,0.24,1.02,0.50,1
30/12/2021,Manchester United,1.81,0.87,2.08,1
30/12/2021,Burnley,0.87,1.81,0.69,1
01/01/2022,West Ham,2.23,2.69,1.08,1
01/01/2022,Manchester City,1.95,0.84,2.29,1
01/01/2022,Tottenham,1.94,0.30,2.62,1
01/01/2022,Crystal Palace,2.69,2.23,1.69,1
01/01/2022,Arsenal,0.84,1.95,0.50,1
01/01/2022,Watford,0.30,1.94,0.24,1
02/01/2022,Leeds,2.04,0.96,2.15,1
02/01/2022,Brighton,1.48,1.83,1.09,1
02/01/2022,Brentford,0.50,1.14,0.77,1
02/01/2022,Chelsea,1.39,1.79,1.05,1
02/01/2022,Liverpool,1.79,1.39,1.69,1
02/01/2022,Everton,1.83,1.48,1.62,1
02/01/2022,Aston Villa,1.14,0.50,1.91,1
02/01/2022,Burnley,0.96,2.04,0.62,1
03/01/2022,Wolverhampton Wanderers,0.84,0.77,1.40,1
03/01/2022,Manchester United,0.77,0.84,1.25,1
11/01/2022,Southampton,1.59,0.62,2.19,1
11/01/2022,Brentford,0.62,1.59,0.57,1
12/01/2022,West Ham,2.89,0.34,2.86,1
12/01/2022,Norwich,0.34,2.89,0.08,1
14/01/2022,Crystal Palace,0.51,2.18,0.23,1
14/01/2022,Brighton,2.18,0.51,2.62,1
15/01/2022,Wolverhampton Wanderers,2.30,0.92,2.46,1
15/01/2022,Norwich,1.00,0.54,1.84,1
